Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
Nothing
[1, 0, 1.0, 3.5, 41.0, 50, 50]
[1, 0, 1.0, 4.5, 41.5, 50, 50]
[1, 0, 1.0, 8.5, 43.5, 50, 50]
[1, 0, 1.0, 12.0, 45.0, 50, 50]
[1, 0, 1.0, 17.5, 46.5, 50, 50]
[1, 0, 1.0, 21.5, 49.0, 50, 50]
[1, 0, 1.0, 27.5, 50.0, 50, 50]
[1, 0, 1.0, 32.0, 52.5, 50, 50]
[1, 0, 1.0, 34.5, 53.0, 50, 50]
[1, 0, 1.0, 37.0, 53.0, 50, 50]
[1, 0, 1.0, 39.0, 54.0, 50, 50]
[1, 0, 1.0, 40.5, 54.5, 50, 50]
[1, 0, 1.0, 41.0, 55.0, 50, 50]
[1, 0, 1.0, 41.5, 55.0, 50, 50]
[1, 0, 1.0, 42.0, 55.5, 50, 50]
[1, 0, 1.0, 42.5, 55.5, 50, 50]
[1, 0, 1.0, 43.0, 55.5, 50, 50]
[1, 0, 1.0, 43.5, 55.5, 50, 50]
[1, 0, 1.0, 43.5, 55.5, 50, 50]
[1, 0, 1.0, 44.0, 55.5, 50, 50]
[1, 0, 1.0, 44.5, 55.5, 50, 50]
[1, 0, 1.0, 45.0, 55.5, 50, 50]
[1, 0, 1.0, 45.5, 55.5, 50, 50]
[1, 0, 1.0, 46.0, 56.0, 50, 50]
[1, 0, 1.0, 47.0, 56.0, 50, 50]
[1, 0, 1.0, 47.5, 56.0, 50, 50]
[1, 0, 1.0, 48.5, 56.0, 50, 50]
[1, 0, 1.0, 49.5, 56.0, 50, 50]
[1, 0, 1.0, 50.0, 56.5, 50, 50]
[1, 0, 1.0, 50.5, 56.5, 50, 50]
[1, 0, 1.0, 51.0, 56.5, 50, 50]
[1, 0, 1.0, 52.5, 56.5, 50, 50]
[1, 0, 1.0, 53.0, 56.5, 50, 50]
[1, 0, 1.0, 53.0, 56.5, 50, 50]
[1, 0, 1.0, 54.0, 56.5, 50, 50]
[1, 0, 1.0, 54.5, 56.5, 50, 50]
[1, 0, 1.0, 55.0, 56.5, 50, 50]
[1, 0, 1.0, 55.5, 56.5, 50, 50]
[1, 0, 1.0, 56.0, 56.5, 50, 50]
[1, 0, 1.0, 56.5, 56.5, 50, 50]
[1, 0, 1.0, 57.0, 56.5, 50, 50]
[1, 0, 1.0, 57.0, 56.5, 50, 50]
[1, 0, 1.0, 58.0, 56.5, 50, 50]
[1, 0, 1.0, 58.5, 56.5, 50, 50]
[1, 0, 1.0, 59.0, 56.5, 50, 50]
[1, 0, 1.0, 59.5, 56.5, 50, 50]
[1, 0, 1.0, 60.5, 56.5, 50, 50]
[1, 0, 1.0, 61.0, 56.5, 50, 50]
[1, 0, 1.0, 61.5, 56.5, 50, 50]
[1, 0, 1.0, 62.0, 56.5, 50, 50]
[1, 0, 1.0, 63.0, 56.5, 50, 50]
[1, 0, 1.0, 63.5, 56.5, 50, 50]
[1, 0, 1.0, 64.0, 56.5, 50, 50]
[1, 0, 1.0, 64.5, 56.5, 50, 50]
[1, 0, 1.0, 65.0, 56.5, 50, 50]
[1, 0, 1.0, 65.5, 56.5, 50, 50]
[1, 0, 1.0, 66.0, 56.5, 50, 50]
[1, 0, 1.0, 66.5, 56.0, 50, 50]
[1, 0, 1.0, 66.5, 56.0, 50, 50]
